nregistro,nombre,principios_activos,pdf_url
76287,ACIDO ACETILSALICILICO CINFAMED 100 MG COMPRIMIDOS GASTRORRESISTENTES EFG,ácido acetilsalicílico,https://cima.aemps.es/cima/pdfs/ft/76287/FT_76287.pdf
76237,ACIDO ACETILSALICILICO STADA 100 MG COMPRIMIDOS GASTRORRESISTENTES EFG,ácido acetilsalicílico,https://cima.aemps.es/cima/pdfs/ft/76237/FT_76237.pdf
81214,ACIDO ACETILSALICILICO TARBIS 100 MG COMPRIMIDOS GASTRORRESISTENTES EFG,ácido acetilsalicílico,https://cima.aemps.es/cima/pdfs/ft/81214/FT_81214.pdf
86705,ACIDO ACETILSALICILICO TECNIGEN 100 MG COMPRIMIDOS GASTRORRESISTENTES,ácido acetilsalicílico,https://cima.aemps.es/cima/pdfs/ft/86705/FT_86705.pdf
70911,ACIDO ALENDRONICO SEMANAL CINFAMED 70 mg COMPRIMIDOS EFG,ácido alendrónico,https://cima.aemps.es/cima/pdfs/ft/70911/FT_70911.pdf
69827,ACIDO ALENDRONICO SEMANAL NORMON 70 mg COMPRIMIDOS EFG,ácido alendrónico,https://cima.aemps.es/cima/pdfs/ft/69827/FT_69827.pdf
68015,ACIDO ALENDRONICO SEMANAL SANDOZ 70 mg COMPRIMIDOS EFG,ácido alendrónico,https://cima.aemps.es/cima/pdfs/ft/68015/FT_68015.pdf
67028,ACIDO ALENDRONICO SEMANAL STADA 70 mg COMPRIMIDOS EFG,ácido alendrónico,https://cima.aemps.es/cima/pdfs/ft/67028/FT_67028.pdf
68919,ACIDO ALENDRONICO SEMANAL TECNIGEN 70 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,ácido alendrónico,https://cima.aemps.es/cima/pdfs/ft/68919/FT_68919.pdf
81097,ACIDO ALENDRONICO/COLECALCIFEROL SEMANAL SANDOZ 70 MG/5.600 UI COMPRIMIDOS EFG,ácido alendrónico + colecalciferol,https://cima.aemps.es/cima/pdfs/ft/81097/FT_81097.pdf
83548,ACIDO ALENDRONICO/COLECALCIFEROL SEMANAL STADA 70 MG/2.800 UI COMPRIMIDOS EFG,ácido alendrónico + colecalciferol,https://cima.aemps.es/cima/pdfs/ft/83548/FT_83548.pdf
83549,ACIDO ALENDRONICO/COLECALCIFEROL SEMANAL STADA 70 MG/5.600 UI COMPRIMIDOS EFG,ácido alendrónico + colecalciferol,https://cima.aemps.es/cima/pdfs/ft/83549/FT_83549.pdf
17536,ACIDO ASCORBICO BAYER 1000 mg/5 ml SOLUCION INYECTABLE,ácido ascórbico,https://cima.aemps.es/cima/pdfs/ft/17536/FT_17536.pdf
74407,ACIDO IBANDRONICO CINFA 150 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,ácido ibandrónico,https://cima.aemps.es/cima/pdfs/ft/74407/FT_74407.pdf
74636,ACIDO IBANDRONICO NORMON 150 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,ácido ibandrónico,https://cima.aemps.es/cima/pdfs/ft/74636/FT_74636.pdf
